,company_permalink,funding_round_type,raised_amount_usd,category_list,status,country_code,English Langauge
210,eye-q,venture,9.5,Health and Wellness,operating,IND,No
211,ezetap,venture,23.5,Mobile,operating,IND,No
212,ezetap,venture,3.5,Mobile,operating,IND,No
213,ezetap,venture,8.0,Mobile,operating,IND,No
214,faaso-s,venture,16.0,Food Processing,operating,IND,No
215,fashion-you,venture,40.0,E-Commerce|Fashion|Internet|Lifestyle|Retail,operating,IND,No
216,fashion-you,venture,10.0,E-Commerce|Fashion|Internet|Lifestyle|Retail,operating,IND,No
217,fashion-you,venture,8.0,E-Commerce|Fashion|Internet|Lifestyle|Retail,operating,IND,No
218,favista-real-estate,venture,2.0,Real Estate,operating,IND,No
219,fifth-generation-technologies-india-private,venture,3.31,Software,operating,IND,No
220,financial-information-network-operations-pvt,venture,20.0,Finance|FinTech,closed,IND,No
221,financial-information-network-operations-pvt,venture,15.0,Finance|FinTech,closed,IND,No
222,financial-software-systems,venture,57.0,Software,operating,IND,No
223,firepro-systems,venture,12.0,Security,operating,IND,No
224,firstcry-com,venture,15.0,E-Commerce,operating,IND,No
225,firstcry-com,venture,10.0,E-Commerce,operating,IND,No
226,firstcry-com,venture,14.0,E-Commerce,operating,IND,No
227,firstcry-com,venture,26.0,E-Commerce,operating,IND,No
228,flipkart,venture,210.0,E-Commerce|Online Shopping,operating,IND,No
229,flipkart,venture,200.0,E-Commerce|Online Shopping,operating,IND,No
230,flipkart,venture,20.0,E-Commerce|Online Shopping,operating,IND,No
231,flipkart,venture,160.0,E-Commerce|Online Shopping,operating,IND,No
232,flipkart,venture,1000.0,E-Commerce|Online Shopping,operating,IND,No
233,flipkart,venture,150.0,E-Commerce|Online Shopping,operating,IND,No
234,flipkart,venture,10.0,E-Commerce|Online Shopping,operating,IND,No
235,flipkart,venture,1.0,E-Commerce|Online Shopping,operating,IND,No
236,flipkart,venture,700.0,E-Commerce|Online Shopping,operating,IND,No
237,forus-health,venture,5.0,Health Care,operating,IND,No
238,forus-health,venture,8.4,Health Care,operating,IND,No
239,fourinteractive,venture,10.0,Curated Web,operating,IND,No
240,fourinteractive,venture,2.0,Curated Web,operating,IND,No
241,fourth-partner-energy,venture,2.0,Recycling|Service Providers|Services,operating,IND,No
242,freecharge,venture,80.0,Internet|Payments,acquired,IND,No
243,freecharge,venture,33.0,Internet|Payments,acquired,IND,No
244,freecultr,venture,9.0,Fashion|Marketplaces|Mens Specific|Textiles|Women,operating,IND,No
245,freecultr,venture,4.0,Fashion|Marketplaces|Mens Specific|Textiles|Women,operating,IND,No
246,funds-india,venture,3.77,Finance|Financial Services,operating,IND,No
247,funds-india,venture,11.0,Finance|Financial Services,operating,IND,No
248,furlenco,venture,6.0,Consumers,operating,IND,No
249,fusion-microfinance,venture,8.3,Finance,operating,IND,No
250,fusion-microfinance,venture,4.5,Finance,operating,IND,No
251,games2win,venture,5.0,Games,operating,IND,No
252,games2win,venture,2.0,Games,operating,IND,No
253,games2win,venture,6.0,Games,operating,IND,No
254,germin8,venture,3.0,Analytics|Big Data|Social Media,operating,IND,No
255,getit-infoservices,venture,36.4,Search,operating,IND,No
256,gingersoft-media,venture,2.0,Advertising,closed,IND,No
257,girnarsoft,venture,50.0,Enterprise Software|Mobile Software Tools|Mobility|Web Development,operating,IND,No
258,girnarsoft,venture,15.0,Enterprise Software|Mobile Software Tools|Mobility|Web Development,operating,IND,No
259,gojavas,venture,20.0,Technology,operating,IND,No
260,goldvip-technology-solutions-crown-it,venture,5.5,Software,operating,IND,No
261,goodbox,venture,2.5,Messaging,operating,IND,No
262,grabhouse,venture,0.5,Real Estate,operating,IND,No
263,grabhouse,venture,10.0,Real Estate,operating,IND,No
264,grabhouse,venture,2.5,Real Estate,operating,IND,No
265,grameen-financial-services,venture,13.5,Finance,operating,IND,No
266,grameen-financial-services,venture,8.05605,Finance,operating,IND,No
267,greendust,venture,40.0,E-Commerce,operating,IND,No
268,grex,venture,0.625,Financial Services,operating,IND,No
269,grofers-trusted-delivery-partner,venture,10.0,Consumer Electronics|Groceries|Pharmaceuticals|Retail,operating,IND,No
270,grofers-trusted-delivery-partner,venture,120.0,Consumer Electronics|Groceries|Pharmaceuticals|Retail,operating,IND,No
271,grofers-trusted-delivery-partner,venture,35.0,Consumer Electronics|Groceries|Pharmaceuticals|Retail,operating,IND,No
272,groupe-athena,venture,2.355,Biotechnology,operating,IND,No
273,groupon-india,venture,20.0,Internet Service Providers,operating,IND,No
274,gupshup-technology-india-pvt-ltd,venture,11.0,Mobile,operating,IND,No
275,gupshup-technology-india-pvt-ltd,venture,12.0,Mobile,operating,IND,No
276,gupshup-technology-india-pvt-ltd,venture,10.0,Mobile,operating,IND,No
277,guruji,venture,8.0,Search,closed,IND,No
278,guruji,venture,7.0,Search,closed,IND,No
279,gvk-biosciences,venture,25.0,Analytics|Manufacturing|Service Providers,operating,IND,No
280,hansa-customer,venture,4.7,Marketing Automation,operating,IND,No
281,happiest-minds,venture,45.0,Software,operating,IND,No
282,head-held-high,venture,0.408225,Nonprofits,operating,IND,No
283,healthcaremagic,venture,2.5,Health and Wellness|Health Care|Health Care Information Technology|Internet,acquired,IND,No
284,healthhiway,venture,4.0,Enterprise Software|Health Care|Information Technology,operating,IND,No
285,heckyl,venture,3.5,Analytics|Finance,operating,IND,No
286,hector-beverages,venture,28.7,Consumer Goods|Specialty Foods,operating,IND,No
287,hector-beverages,venture,8.0,Consumer Goods|Specialty Foods,operating,IND,No
288,helpingdoc,venture,1.5,Health and Wellness,operating,IND,No
